app_name,app_id,review_id,username,review,rating,thumbs_up,at
Gojek,com.gojek.app,af9511f0-3cbb-4948-a59b-caa5ea362700,1514 - Al-Fariqy Raihan Azhwar,"lagi urgent, gak bisa trx pake linkaja, plus kena rate limiting.. huftt.. kalo gak bisa trx, jangan di kasih rate limit gitu.. plus banyak banget driver ngakalin kaya matiin paket data supaya kita nge cancel duluan.. saya tadi dan beberapa waktu lalu nungguin cukup lama lho.. mungkin bisa tembusin ke product management nya.. makasih",1,7,2026-05-11 08:18:27
Gojek,com.gojek.app,ba95e8f8-df15-4a67-a85f-59d9693dee0f,Ramadhania Putri,terbantu sekalo,5,0,2026-05-11 08:16:01
Gojek,com.gojek.app,cb6d985d-930c-4cb2-a215-ad0f5de1f366,Dewi Susanti,ramah,5,0,2026-05-11 08:01:01
Gojek,com.gojek.app,7635529d-76e7-4cb5-b5b2-022537ccb3c4,down mlbbus,"aneh, nyarinya lama kali, udh telat juga untuk ngampus, di batalin malah gojeknya datang sementara saya udh naik mitra lain",2,0,2026-05-11 07:52:54
Gojek,com.gojek.app,246ff9ce-d165-40d4-94dc-7d23070ca368,delvin casidy,Mantap,5,0,2026-05-11 07:47:45
Gojek,com.gojek.app,a521e095-509a-4b76-af9f-d52eb6fca69c,R. Sonaji,mantap,5,0,2026-05-11 07:43:12
Gojek,com.gojek.app,0c6e0908-042b-4c07-b53f-f6b66d1a3586,kerthi asih,"terimakasi gojek dan drivernya, sukses dan sehat semua untuk drivernya. sangat memudahkan saya dalam pengiriman tanaman ke pelanggan 🙏",5,0,2026-05-11 07:33:39
Gojek,com.gojek.app,ea83cbdf-3d6a-4ff2-9b0b-f2aa110db20a,fajrina sabrina,pelayanan yang hebat,5,0,2026-05-11 07:32:28
Gojek,com.gojek.app,fbfc85e2-3788-486c-9bb9-34ab03d2c359,fendi manggis123,mantappppp,5,0,2026-05-11 07:23:01
Gojek,com.gojek.app,7465481f-c020-4fcd-8a3e-b4555060d7cf,Silfia Zaharti,"sy langganan gojeg sdh lbh dari 6 thn dan pernah jd prioritas dan lebih suka kalau banyak discount dari go food atau transportasi, pertahankan dan tingkatkan",4,0,2026-05-11 07:19:48
Gojek,com.gojek.app,501d1036-c802-4878-936b-71c11d2865c6,Darry Anto,tepat waktu,5,0,2026-05-11 07:17:02
Gojek,com.gojek.app,ece30119-53e7-41f9-8a3a-f01a8c370e04,Andreas Seko,ok,4,0,2026-05-11 06:58:08
Gojek,com.gojek.app,913660de-336e-451b-afde-f25895ff22c5,vallenn,kren,5,0,2026-05-11 06:54:46
Gojek,com.gojek.app,1b47b8d0-056e-47f0-98c8-a81a5f424e33,Mochamad Ismunarso,woke,5,0,2026-05-11 06:43:01
Gojek,com.gojek.app,5549039b-2be1-4260-adac-88aa139bcce5,Vania Rahma,apaan bgt pake gocar prioritas nunggu 15 menit. jelek,1,0,2026-05-11 06:40:19
Gojek,com.gojek.app,e58f2d08-02d2-4bff-a989-73304fef2ab3,Dhea Sabrina,Hari ini lebih murah dari sebelah. pertahankan ya,5,0,2026-05-11 06:38:50
Gojek,com.gojek.app,3382458c-e3fd-4cb9-a24c-6b7dc3e7d9d8,Dwi Wahyuningsih,"sigap,cepat gak ribet",5,0,2026-05-11 06:35:40
Gojek,com.gojek.app,fb503184-e6a6-4569-b496-3577bc79ee0d,amalia Chairul,"gojek aman n terpercaya banyak promo"" discount'a good Job Gojek 👍😉",5,0,2026-05-11 06:22:40
Gojek,com.gojek.app,fe833a38-129d-4bec-8dce-f31cc285530d,Fii Mnsss,Sangat Membantu,5,0,2026-05-11 06:04:58
Gojek,com.gojek.app,7ad5280d-71f8-48da-9a9e-a7e0bd6c6a3a,dika,"fitur gocatsnya tidak bisa diklaim hadiah dengan benar, dan berasa cuma gimmick . tolong perbaiki.",2,1,2026-05-11 05:55:58
Gojek,com.gojek.app,3f409ec1-94cd-4171-95a8-62ae9685f679,Muhamad Rizki,Driver nyh klo bisa di suruh mandi dan pake parfum dan pakaian yang rapi. klo bisa pihak aplikasinya di kasih notifikasi di aplikasi nyh setiap jam dan waktu.,5,0,2026-05-11 05:33:46
Gojek,com.gojek.app,93fd077e-4709-4d01-8698-0cacbf265d2c,Macam Macam,Trimakasih banyak gojek setiap pagi kalo ngak sempet nganter sekolah. pke gojek aja simple aman no drama drama club🥰🥰,5,0,2026-05-11 05:26:59
Gojek,com.gojek.app,e82eabeb-d69e-4577-940b-4d8393f192eb,Ridwan Muhamad,berhasil pesan gocar dengan mengatur jadwal kereeen...,4,0,2026-05-11 04:50:35
Gojek,com.gojek.app,cf3d1041-a696-41dd-afce-afa05c8f76cc,Raihan Ramadhan,satu kata.. KECEWA,1,0,2026-05-11 04:39:21
Gojek,com.gojek.app,cd656012-fe47-4fdd-a54e-a6b2a25b9be2,Aqil Albanan,top,5,0,2026-05-11 03:43:46
Gojek,com.gojek.app,5275c50e-7c68-482f-b3c5-cbdaab4aa0a1,Andre Harahap,no coment kalau bisa driver2 nya disejahterakan,5,0,2026-05-11 03:15:10
Gojek,com.gojek.app,c12fa337-23df-4fcf-bf96-640127c673dd,General Syarif,lambat tidak bisa diandalkan,1,0,2026-05-11 01:33:42
Gojek,com.gojek.app,7066973d-2b68-43dc-921c-f0a10ef4f61d,Dina Andriyansyah,Keren..,5,0,2026-05-11 01:30:48
Gojek,com.gojek.app,3c22f321-b5e9-4115-9c37-c08301af6450,Who Am I,Hidup aplikator pungli 🫢,1,0,2026-05-11 00:28:55
Gojek,com.gojek.app,2359b2c2-2b55-41e4-a0c4-02282c710f13,Yuan Kandioh,good,5,0,2026-05-11 00:18:20
Gojek,com.gojek.app,fb19ccab-70f2-460f-a8c8-06a095c47d71,Qurrota'aini Ta,"adain pengantaran ke cabang Bungin dong, ya jarang ke sana sih tpi klo ke sana pasti mke gojek dulu bisa, knp sekarang enggak",4,0,2026-05-11 00:02:26
Gojek,com.gojek.app,c46e4eaf-cc0a-46d4-941f-906e63238fdf,MOZAIK Arts,oke baik,4,0,2026-05-10 23:58:20
Gojek,com.gojek.app,f8189943-5ccc-454b-b432-f8a090424923,M RAHADIAN YULIANTO M RAHADIAN YULIANTO,sangat bermanfaat sekali untuk saya,5,0,2026-05-10 23:36:40
Gojek,com.gojek.app,ac396856-917e-458b-9fb9-f51dda6349fa,Irwan,"bagus, dan cepat",5,0,2026-05-10 22:38:41
Gojek,com.gojek.app,1f2321cf-051b-4a04-9460-cfe5d3690a2c,Hardigan AS (Hardy),susah dapat gojek bila malam,2,0,2026-05-10 22:23:36
Gojek,com.gojek.app,882f355c-c39d-43f1-b2eb-bd3531c419b0,Mochamad Deva wahyu,"nyari driver lama, gabisa dicancel",1,0,2026-05-10 22:19:48
Gojek,com.gojek.app,639cfe2f-fa2f-4551-8a79-f6ef75f7b798,saepul anwar,kenapa si selalu susah cari driver bikin orang kesel aja orang udah laper jadi makin di undur karna susah cari driver,1,1,2026-05-10 21:46:46
Gojek,com.gojek.app,3bc55d62-214a-4572-8b05-23b332882589,Muhammad Qaddafy,bagus,5,0,2026-05-10 21:36:03
Gojek,com.gojek.app,08fde15e-05a7-4639-b02f-ea4187a7540a,ardi yanto,nice,5,0,2026-05-10 21:11:02
Gojek,com.gojek.app,ba69f232-d479-4366-97a6-e2cd98cdc166,Elika Christiani,Bisa diandalkan & tidak mengecewakan,5,0,2026-05-10 21:08:41
Gojek,com.gojek.app,74acd9d2-c477-466e-a279-6da9d45e349a,Satrio Anggoro,lama kali bujang aku mesan makan driver tidak ada yg ngambil lokasi bontang,1,0,2026-05-10 20:57:47
Gojek,com.gojek.app,1d8c0051-f063-4bcc-b473-46cef48f83b6,mukhairu,best banget,5,0,2026-05-10 20:52:13
Gojek,com.gojek.app,94cb7357-4995-4a9f-921c-46a403c3fb7e,Antonius Ade Ivan,ga bisa ngasih kepastian klo pesanannya ga diambil driver costumer digantungin suruh nunggu sampe kiamat,2,0,2026-05-10 20:38:28
Gojek,com.gojek.app,c81f7e28-cd21-4d3e-a0e0-27ceb13a5b13,Alilah Noviantika,best tapi jarang ada potongan harganya sekarang untuk gofood,5,0,2026-05-10 20:32:28
Gojek,com.gojek.app,fc648ba6-2719-4b9c-a5cf-af1b11bcb968,Rizky Rangga Mbara,okee,4,0,2026-05-10 20:21:33
Gojek,com.gojek.app,8040c438-6d40-4bbb-80a5-7e3210c70d55,riki amanu,Sip manntulll. trimakasih GO-FOOD,5,0,2026-05-10 20:13:56
Gojek,com.gojek.app,41db3ae8-8634-4cf2-aa74-6877a6efccb1,Ahmad Saidil Akbar,1.Kalau lewat jam 6 pagi drivernya dapetnya yang jauh jauh.2.bagus tapi susah set lokasi jemput lewat mapnya.,3,0,2026-05-10 19:50:28
Gojek,com.gojek.app,f0abf27d-0884-4dd0-bc12-61a140a7dfe7,Ernawati Latif,kpan pun dan dimana pun bisa order buat keluarga yang jauh dari kita 🥰🥰,5,0,2026-05-10 19:49:09
Gojek,com.gojek.app,20e23162-ceda-40e8-a06c-c67fd0dd4c14,Fajri Syami,"Bagus.. sangat mudah digunakan dan banyak Promonya dan semoga kedepannya GoJek Gofood jd Partner yang Lebih Baik Lagi, Syukron.",5,0,2026-05-10 19:33:23
Gojek,com.gojek.app,f55dc346-3ad7-4ac3-a449-f9cb97ab0709,Althaf abimanyu (Abi),"tolong dong perbaikin GPSnya,yang bener dikit kek tuh appsnya",1,4,2026-05-10 19:24:35
Gojek,com.gojek.app,bd8f9cab-24cc-4d10-97d0-0a25ea1cf955,Muhammad Ilham Fadil,Kapan ada pembayaran QRIS???,4,0,2026-05-10 19:10:06
Gojek,com.gojek.app,72bdc41e-6bec-4e1b-a915-075181d91550,Paiman Wiharmanto,Bagus,4,0,2026-05-10 19:02:57
Gojek,com.gojek.app,a39f43ed-ba38-40ba-b24b-1604bf375fbd,Barnabas Edo Sandyawan Elwi,Mantap Gojek,5,0,2026-05-10 19:01:53
Gojek,com.gojek.app,088da40b-6edf-44f6-a613-3858d45950f4,Kenshin,GAK NGOTAK BANGET ONGKIR SAMA BIAYA PENANGANAN GOFOOD mending sih Shopeefood lebih free ongkir banyak promonya real ga cuma sekedar jargon doang,1,1,2026-05-10 18:51:36
Gojek,com.gojek.app,c0e34b51-09b5-41aa-ad7d-9e2547f01d3a,Need Games,okelah pokoknya,5,0,2026-05-10 18:47:23
Gojek,com.gojek.app,15f0008f-33fa-45c1-95a1-a58a4a4fb1c4,hadi mr,oke aja,5,0,2026-05-10 18:42:15
Gojek,com.gojek.app,ee2000b6-3b3e-4169-be84-5dd62829cc2a,Cerdas cermat,baguss,5,0,2026-05-10 18:41:06
Gojek,com.gojek.app,91970f09-45f2-45a1-aada-b867df11ebab,Nazwa Aulia Putri,"driver lu jelek, ga dapat2 driver harus nunggu 1 jam dulu baru bisa ngancel, otak yang punya aplikasi dimana, 1 jam belum tentu dapat apa2 keburu tutup tokonya",1,0,2026-05-10 18:33:22
Gojek,com.gojek.app,2ca01758-2c29-47a4-be30-7b48a519ec7f,emi iryani,aplikasi nya bagus gampang nyari menu nya dan ada diskon besar-besaran ☺️,5,0,2026-05-10 18:30:44
Gojek,com.gojek.app,842e90a1-0069-4f64-9de3-1ed2b4f7fbd7,Wilda Puspita dewi,kalau emang driver nya kaga mau ngomong atau chat ke saya!! saya udh nunggu lama drivernya GK jalan jalan malah di batalin sama drivernya!!!,1,0,2026-05-10 18:26:30
Gojek,com.gojek.app,09339e30-b872-4c28-b223-cd3c1f6afb75,Hera Wati,"aplikasi yg sangat membantu ,dalam transportasi dan kuliner,dan banyak discount",5,0,2026-05-10 18:23:07
